legacy,legacyPath,legacySize,legacyMD5,status,newPath,reason
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\product_identity.ts","928","a0367cd665f9d787a9f425d08d3deac3","缺失","","stem 无匹配 (product_identity / product_identity)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\taskDeveloper.ts","868","c45b3f164b751d31b4e71c304673fc8f","部分迁移","g:\IHUI-AI\apps\api\src\routes\admin\task-developer.ts","stem 匹配但大小差异大(1 个候选: taskDeveloper)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\userAgentAudio.ts","878","e8c8a0d223a602e8f87234283c4c2987","已迁移(重写)","g:\IHUI-AI\apps\api\src\routes\admin\user-agent-audio.ts","stem+大小相近(1.79x: userAgentAudio)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\userAgentContext.ts","988","120430a2f5fc753d3a137a21abbf84aa","缺失","","stem 无匹配 (userAgentContext / user-agent-context)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\userAgentImage.ts","878","a12d67dbe43c3b2e9018d2a19af8aa00","部分迁移","g:\IHUI-AI\apps\api\src\routes\admin\user-agent-image.ts","stem 匹配但大小差异大(1 个候选: userAgentImage)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\userFeedback.ts","858","b9035dffffe44cc513abc8c17cd099a9","缺失","","stem 无匹配 (userFeedback / user-feedback)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\user_vip.ts","833","2cb42de8fd7bc6216465a296529acc21","缺失","","stem 无匹配 (user_vip / user_vip)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\vip_level.ts","813","95d7c04285704ea03b6ba39e2d009783","缺失","","stem 无匹配 (vip_level / vip_level)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\Withdrawaldetail.ts","898","836c440a5a4859759110a4847d96be72","缺失","","stem 无匹配 (Withdrawaldetail / withdrawaldetail)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\withdrawal_flow.ts","888","e9942db5a950c1150469309e1324a5a8","缺失","","stem 无匹配 (withdrawal_flow / withdrawal_flow)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\zhsAgent.ts","813","a0044720456b9dcb3b7b29b4ce295d3b","部分迁移","g:\IHUI-AI\apps\api\src\routes\admin\zhs-agent.ts","stem 匹配但大小差异大(1 个候选: zhsAgent)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\zhs_activity.ts","828","a101d2e2fb51ec7e76a783c489ce21ff","缺失","","stem 无匹配 (zhs_activity / zhs_activity)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\zhs_product.ts","818","1c6e10f8d26a2be13a0a5b4f50b7f906","缺失","","stem 无匹配 (zhs_product / zhs_product)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\ai\zhs_user.ts","788","4b6211df561a33516c6dd328738004b6","缺失","","stem 无匹配 (zhs_user / zhs_user)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\AuthuserMargin.ts","1215","79336a20f23c8d857768e9c10e4411e9","缺失","","stem 无匹配 (AuthuserMargin / authuser-margin)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\auth_accounts.ts","1268","b664b58516985710759f16353dfd5445","缺失","","stem 无匹配 (auth_accounts / auth_accounts)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\auth_dept.ts","1198","99bf52aee7c0f9c98c0115ee216b2830","缺失","","stem 无匹配 (auth_dept / auth_dept)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\auth_find_info.ts","1297","bd3433c90ffc89db8c46b6c52c31e022","缺失","","stem 无匹配 (auth_find_info / auth_find_info)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\auth_info.ts","1254","0399df7bc33b904052d2959b849b189f","缺失","","stem 无匹配 (auth_info / auth_info)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\auth_role.ts","1198","7c9f4e5fc03a834afb5ab4c0c4efac8b","缺失","","stem 无匹配 (auth_role / auth_role)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\auth_tokens.ts","1176","38d8d52b9ee96441e17674da3e258bb4","缺失","","stem 无匹配 (auth_tokens / auth_tokens)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\auth_user_vip.ts","1218","9d563b7a023104b22941a5d23c75c5dd","缺失","","stem 无匹配 (auth_user_vip / auth_user_vip)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\auth_veri_codes.ts","1235","e3ade55581cb5bb44859f3504accddfc","缺失","","stem 无匹配 (auth_veri_codes / auth_veri_codes)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\auth_vip_level.ts","1202","815d5760cc82b22e4af2397930913194","缺失","","stem 无匹配 (auth_vip_level / auth_vip_level)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\login_logs.ts","1198","512c11bf0b5f343bd683831ae54c4c6f","缺失","","stem 无匹配 (login_logs / login_logs)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\users.ts","1761","d63a1482f203426755103201c144c93c","已迁移(重写)","g:\IHUI-AI\packages\database\seed\users.ts","stem+大小相近(0.67x: users)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\user_dept.ts","1153","064da77df257b4f9088ce81e14192b28","缺失","","stem 无匹配 (user_dept / user_dept)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\auth\user_roles.ts","1165","ea3b8ebb835e53c681ec2be128a2fce7","缺失","","stem 无匹配 (user_roles / user_roles)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\categoryDictionary.ts","1275","8e8f02dcd954ba1edc1af4697b0b91c3","缺失","","stem 无匹配 (categoryDictionary / category-dictionary)"
"ihui-ai-admin-frontend","D:\历史项目存档\ihui-ai-admin-frontend\src\api\course\course.ts","1362","b34ffbfa47f0050219bfe5ad2796017b","已迁移(重写)","g:\IHUI-AI\packages\api-client\src\endpoints\course.ts","stem+大小相近(1.82x: course)"
