source,httpMethod,path,mappedPath,normalizedPath,legacyFile,legacyClass,status,appliedRule,matchedRoutes,reason
"fastify","POST","/","/","/","","","无需迁移","","POST / (zhs-organization.ts:77)","当前仓库新增端点(无 Java 对应)"
"fastify","PUT","/:id","/:id","/:id","","","无需迁移","","PUT /:id (zhs-organization.ts:95)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/:id","/:id","/:id","","","无需迁移","","DELETE /:id (zhs-organization.ts:111)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/api/search","/api/search","/search","","","无需迁移","","GET /api/search (__tests__/aspect.test.ts:116)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/api/resources/:id","/api/resources/:id","/resources/:id","","","无需迁移","","GET /api/resources/:id (__tests__/aspect.test.ts:119)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/api/checkin","/api/checkin","/checkin","","","无需迁移","","POST /api/checkin (__tests__/aspect.test.ts:137)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/api/fail","/api/fail","/fail","","","无需迁移","","POST /api/fail (__tests__/aspect.test.ts:141)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","member","member","member","","","无需迁移","","GET member (__tests__/migration-e2e.test.ts:323)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","chapter","chapter","chapter","","","无需迁移","","GET chapter (__tests__/migration-e2e.test.ts:325)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","enrollment","enrollment","enrollment","","","无需迁移","","GET enrollment (__tests__/migration-e2e.test.ts:326)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","exam_record","exam_record","exam_record","","","无需迁移","","GET exam_record (__tests__/migration-e2e.test.ts:327)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","wrong_question","wrong_question","wrong_question","","","无需迁移","","GET wrong_question (__tests__/migration-e2e.test.ts:328)","当前仓库新增端点(无 Java 对应)"
