category,old_table,new_table,old_source,new_file,match_type,normalized_old,normalized_new
migrated,t_role_authority,edu_role_authority,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,role_authority,role_authority
migrated,t_system_notice,message_system_notice,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\relation-tables.ts,exact,system_notice,system_notice
migrated,t_topic_category,learn_topic_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\learn-extra-extended.ts,exact,topic_category,topic_category
migrated,t_topic_category_relation,learn_topic_category_relation,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\learn-extra-extended.ts,exact,topic_category_relation,topic_category_relation
migrated,t_user,edu_user,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,user,user
migrated,t_user_job,user_jobs,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\usercenter.ts,exact,user_job,user_job
migrated,zhs_agent_category,zhs_agent_category,zhs-py-sql,G:\IHUI-AI\packages\database\src\schema\zhs-full.ts,exact,agent_category,agent_category
migrated,users,edu_user,ry-sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,user,user
migrated,roles,edu_role,ry-sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,exact,role,role
migrated,permissions,permissions,ry-sql,G:\IHUI-AI\packages\database\src\schema\rbac.ts,exact,permission,permission
migrated,zhs_order,orders,zhs-java-@Table,G:\IHUI-AI\packages\database\src\schema\billing.ts,exact,order,order
migrated,zhs_user_agent_free_times,zhs_user_agent_free_time,zhs-java-@Table,G:\IHUI-AI\packages\database\src\schema\zhs-full.ts,exact,user_agent_free_time,user_agent_free_time
partial,DATABASECHANGELOGLOCK,sys_logininfor,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\admin-sys.ts,business,databasechangeloglock,logininfor
partial,circle_circle_category_relation,circles,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\community.ts,prefix,circle_category_relation,circle
partial,circle_circle_member,circles,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\community.ts,prefix,circle_member,circle
partial,exam_exam,edu_exam_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,exam,exam_category
partial,exam_exam_category_relation,edu_exam_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,exam_category_relation,exam_category
partial,exam_paper_paper_category_relation,exam_papers,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,prefix,paper_paper_category_relation,paper
partial,exam_paper_question,exam_papers,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,prefix,paper_question,paper
partial,exam_paper_question_rule,exam_papers,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,prefix,paper_question_rule,paper
partial,exam_question_and_category_relation,exam_questions,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,prefix,question_and_category_relation,question
partial,exam_wrong_question,exam_questions,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,business,wrong_question,question
partial,learn_learn_map_topic,edu_learn_map,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,learn_map_topic,learn_map
partial,learn_lesson,edu_lesson_homework,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,prefix,lesson,lesson_homework
partial,learn_lesson_category_relation,edu_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,business,lesson_category_relation,category
partial,learn_lesson_chapter,edu_lesson_homework,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,business,lesson_chapter,lesson_homework
partial,learn_lesson_chapter_section,edu_lesson_homework,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,business,lesson_chapter_section,lesson_homework
partial,learn_record_log,exam_records,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\exam.ts,prefix,record_log,record
partial,learn_topic,learn_topic_category,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\learn-extra-extended.ts,prefix,topic,topic_category
partial,learn_topic_lesson,edu_lesson_homework,edu-init_database.sql,G:\IHUI-AI\packages\database\src\schema\edu-full.ts,business,topic_lesson,lesson_homework
