source,legacyKey,normalizedKey,sourceFiles,status,matchedKeys,reason
"legacy","warning","warning","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.warning","精确匹配: warning"
"legacy","info","info","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","announcements.types.info | admin.announcements.types.info | admin.events.levels.info","后缀匹配: .info"
"legacy","systemTip","system_tip","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","缺失","","无匹配: systemTip"
"legacy","operationSuccess","operation_success","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","common.messages.operationSuccess","后缀匹配: .operation_success"
"legacy","operationFailed","operation_failed","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.operationFailed","精确匹配: operation_failed"
"legacy","pleaseSelect","please_select","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.pleaseSelect","精确匹配: please_select"
"legacy","pleaseInput","please_input","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","aiChat.pleaseInput","后缀匹配: .please_input"
"legacy","noData","no_data","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.noData","精确匹配: no_data"
"legacy","operation","operation","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.operation","精确匹配: operation"
"legacy","serialNumber","serial_number","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts","缺失","","无匹配: serialNumber"
"legacy","dataItem","data_item","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts","缺失","","无匹配: dataItem"
"legacy","modifySuccess","modify_success","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","缺失","","无匹配: modifySuccess"
"legacy","addSuccess","add_success","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.addSuccess","精确匹配: add_success"
"legacy","deleteSuccess","delete_success","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","common.deleteSuccess","精确匹配: delete_success"
"legacy","title","title","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","已迁移","nav.title | admin.title","精确匹配: title"
"legacy","placeholder","placeholder","ihui-ai-admin-frontend/src/locales/lang/en.ts | ihui-ai-admin-frontend/src/locales/lang/ja.ts | ihui-ai-admin-frontend/src/locales/lang/ko.ts | ihui-ai-admin-frontend/src/locales/lang/zh-CN.ts | ihui-ai-admin-frontend/src/locales/lang/zh-TW.ts","部分迁移","chat.placeholder | settings.ip.placeholder | settings.dialogs.deleteAccount.placeholder","后缀匹配: .placeholder"
